No.,英語,品詞,日本語,学年,ページ,単元,
1645,slide,名,（プレゼンテーション用の）スライド,2,74,U6-RT2,
1646,letter,名,文字,2,74,U6-RT2,
1647,eye contact,連,視線を合わすこと、アイコンタクト,2,74,U6-RT2,
1648,work,名,仕事、職,2,74,U6-RT2,
1649,goodbye,間,さようなら,2,77,RLE6,
1650,shall,助,【提案・勧誘】［相手の意思をたずねて］Shall I ［we］...? …しましょうか。,2,77,RLE6,
1651,direction,名,方向、方角,2,77,RLE6,
1652,change trains,連,電車を乗りかえる,2,77,RLE6,
1653,get to ,連,…に着く、到着する,2,77,RLE6,
1654,change,動,（電車など）を乗りかえる,2,77,RLE6,
1655,stop,名,停留所、駅,2,77,RLE6,
1656,take,動,（乗り物など）に乗る,2,77,RLE6,
1657,which,形,どちらの、どの,2,77,RLE6,
1658,artificial,形,人工の、人工的な、人造の,2,80,SA2,
1659,turf,名,芝、芝地,2,80,SA2,
1660,field,名,競技場、（陸上競技の）フィールド,2,80,SA2,
1661,video,名,映像、動画,2,81,SA2,
1662,unique,形,特有の、独特な、ただ一つの、唯一の,2,81,SA2,
1663,almost,副,ほとんど,2,81,SA2,
1664,belong,動,［belong toで］…に所属する,2,81,SA2,
1665,clean up,連,きれいにそうじする,2,81,SA2,
1666,letter,名,手紙,2,81,SA2,
1667,up,副,すっかり、完全に,2,81,SA2,
1668,once,副,かつて、以前、昔,2,84,LR2(p.84),
1669,poor,形,貧しい、かわいそうな,2,84,LR2(p.84),
1670,rich,形,金持ちの、裕福な,2,84,LR2(p.84),
1671,sell,動,…を売る,2,84,LR2(p.84),
1672,candy,名,キャンディー、砂糖菓子,2,84,LR2(p.84),
1673,door-to-door,副,戸別に、1 軒ずつ,2,84,LR2(p.84),
1674,earn,動,…をかせぐ,2,84,LR2(p.84),
1675,few,形,少しの,2,84,LR2(p.84),
1676,coin,名,硬貨、コイン,2,84,LR2(p.84),
1677,knock,動,ノックする、コツコツたたく,2,84,LR2(p.84),
1678,well-off,形,裕福な,2,84,LR2(p.84),
1679,herself,代,彼女自身、自ら,2,84,LR2(p.84),
1680,a glass of ,連,コップ1杯（の量）の,2,84,LR2(p.84),
1681,a few ,連,少数の、いくらかの,2,84,LR2(p.84),
1682,be about to,連,今にも…しようとしている,2,84,LR2(p.84),
1683,about,形,今にも…しかけていて,2,84,LR2(p.84),
1684,sorry,形,気の毒で、かわいそうで,2,84,LR2(p.84),
1685,pocket,名,ポケット,2,85,LR2(p.85),
1686,reply,動,…と答える,2,85,LR2(p.85),
1687,pay,動,（代金などを）払う,2,85,LR2(p.85),
1688,kindness,名,親切、親切な行為,2,85,LR2(p.85),
1689,away,動,はなれて、去って,2,85,LR2(p.85),
1690,wonder,動,思いをめぐらす,2,85,LR2(p.85),
1691,hope,動,…を望む、…だとよいと思う,2,85,LR2(p.85),
1692,with a smile,連,にっこり笑って,2,85,LR2(p.85),
1693,do well,連,順調にやる、元気になる,2,85,LR2(p.85),
1694,and,接,［命令文のあとで］そうすれば,2,85,LR2(p.85),
1695,before,接,…する前に、…しないうちに,2,85,LR2(p.85),
1696,before,副,以前に、かつて,2,85,LR2(p.85),
1697,better,形,［good、wellの比較級］もっとよい、よくなって,2,85,LR2(p.85),
1698,much,副,［形容詞・副詞の比較級・最上級を強調して］ずっと、はるかに,2,85,LR2(p.85),
1699,smile,名,ほほえみ、微笑,2,85,LR2(p.85),
1700,ill,形,病気で、ぐあい［気分］が悪い,2,86,LR2(p.86),
1701,sent,動,sendの過去形,2,86,LR2(p.86),
1702,send,動,（…に）～をおくる、（人）を行かせる,2,86,LR2(p.86),
1703,operation,名,手術,2,86,LR2(p.86),
1704,woke,動,wakeの過去形,2,86,LR2(p.86),
1705,alive,形,生きて、生きた状態で,2,86,LR2(p.86),
1706,envelope,名,封筒,2,86,LR2(p.86),
1707,bill,名,請求書,2,86,LR2(p.86),
1708,afraid,形,こわがって,2,86,LR2(p.86),
1709,inside,副,内側に、内部に,2,86,LR2(p.86),
1710,paid,形,支払い済みの,2,86,LR2(p.86),
1711,go by,連,（時間が）過ぎる、通り過ぎる,2,86,LR2(p.86),
1712,in front of ,連,…の前で［に］,2,86,LR2(p.86),
1713,right away,連,すぐに,2,86,LR2(p.86),
1714,be afraid to ,連,…するのがこわい,2,86,LR2(p.86),
1715,in full ,連,全部,2,86,LR2(p.86),
1716,here’s,短,here is,2,86,LR2(p.86),
1717,away,動,［right awayで］すぐに,2,86,LR2(p.86),
1718,by,副,通り過ぎて,2,86,LR2(p.86),
1719,full,名,完全,2,86,LR2(p.86),
1720,old,形,年をとった,2,86,LR2(p.86),
1721,right,副,ちょうど、すぐに,2,86,LR2(p.86),
1722,say,動,…と書いてある、示している,2,86,LR2(p.86),
1723,select,動,…を選ぶ,2,90,U7-1,
1724,heritage,名,（文化的な）遺産,2,90,U7-1,
1725,site,名,遺跡,2,90,U7-1,
1726,natural,形,自然の,2,90,U7-1,
1727,cultural,形,文化の,2,90,U7-1,
1728,mixed,形,混合した,2,90,U7-1,
1729,selection,名,選択,2,90,U7-1,
1730,standard,名,基準,2,90,U7-1,
1731,decide,動,…を決める,2,90,U7-1,
1732,general,形,一般的な、総合的な、全般的な,2,90,U7-1,
1733,conference,名,会議、評議会,2,90,U7-1,
1734,are,助,［受け身の形を作る］,2,90,U7-1,
1735,fantastic,形,すばらしい、すてきな,2,91,U7-2,
1736,hometown,名,故郷,2,91,U7-2,
1737,floral,形,花の,2,91,U7-2,
1738,region,名,地方、地域,2,91,U7-2,
1739,known,動,knowの過去分詞,2,91,U7-2,
1740,plant,名,植物,2,91,U7-2,
1741,diversity,名,（…の）多様性、相違（点）,2,91,U7-2,
1742,species,名,（生物学上の）種［複数形もspecies］,2,91,U7-2,
1743,found,動,findの過去分詞,2,91,U7-2,
1744,is,助,［受け身の形を作る］,2,91,U7-2,
1745,more than,連,…より多い,2,91,U7-2,
1746,built,動,buildの過去分詞,2,92,U7-RT1,
1747,emperor,名,皇帝,2,92,U7-RT1,
1748,wife,名,妻,2,92,U7-RT1,
1749,architecture,名,建築、建築学、建築様式,2,92,U7-RT1,
1750,cover,動,…をおおう、包む,2,92,U7-RT1,
1751,marble,名,大理石,2,92,U7-RT1,
1752,jewel,名,宝石,2,92,U7-RT1,
1753,material,名,原料、材料、（服などの）生地,2,92,U7-RT1,
1754,pollution,名,汚染、汚れ、（汚染による）公害、汚染物質,2,92,U7-RT1,
1755,government,名,政府,2,92,U7-RT1,
1756,protect,動,…を守る、保護する,2,92,U7-RT1,
1757,in memory of,連,…を記念して,2,92,U7-RT1,
1758,from far away ,連,遠くから,2,92,U7-RT1,
1759,because of,連,…のために,2,92,U7-RT1,
1760,by,前,【動作主】…によって［主に受け身の文で］,2,92,U7-RT1,
1761,face,動,…に直面する,2,92,U7-RT1,
1762,of,前,【原因・動機】…のため、…で,2,92,U7-RT1,
1763,turn,動,（…に）なる、変わる,2,92,U7-RT1,
1764,list,動,…を（文化財のリストに）載せる,2,94,U7-RT2,
1765,seen,動,seeの過去分詞,2,94,U7-RT2,
1766,tourist,名,観光客、旅行者,2,94,U7-RT2,
1767,climb,動,…に［を］のぼる,2,94,U7-RT2,
1768,sunrise,名,日の出,2,94,U7-RT2,
1769,cloud,名,雲,2,94,U7-RT2,
1770,crater,名,噴火口、（隕石の衝突などによる地面の）穴、（月面の）クレーター,2,94,U7-RT2,
1771,amount,名,量、額,2,94,U7-RT2,
1772,trail,名,（通ってできた）小道,2,94,U7-RT2,
1773,recently,副,最近、近ごろ,2,94,U7-RT2,
1774,cleanup,名,大そうじ,2,94,U7-RT2,
1775,campaign,名,キャンペーン,2,94,U7-RT2,
1776,forever,副,永久に、永遠に,2,94,U7-RT2,
1777,more and more,連,ますます（多くの）,2,94,U7-RT2,
1778,a ... amount of ～,連,…の量の～,2,94,U7-RT2,
1779,bath,名,ふろ場、浴室、浴槽、湯ぶね,2,94,U7-RT2,
1780,be,助,［受け身の形を作る］,2,94,U7-RT2,
1781,left,動,leaveの過去分詞,2,94,U7-RT2,
1782,of,前,【材料・要素】…で（作った）、…から（成る）,2,94,U7-RT2,
1783,goods,名,商品、品物,2,97,RLE7,
1784,size,名,サイズ、寸法,2,97,RLE7,
1785,price,名,値段,2,97,RLE7,
1786,medium,形,中くらいの、Mサイズの,2,97,RLE7,
1787,clerk,名,店員、フロント係,2,97,RLE7,
1788,customer,名,客、顧客,2,97,RLE7,
1789,How much ...? ,連,…はいくらですか。,2,97,RLE7,
1790,take,動,…を選ぶ、…を買う,2,97,RLE7,
1791,under,前,…未満で,2,97,RLE7,
1792,discussion,名,討論、話し合い,2,100,SA3,
1793,chosen,動,chooseの過去分詞,2,100,SA3,
1794,tourism,名,観光,2,100,SA3,
1795,industry,名,産業、工業、…業,2,100,SA3,
1796,develop,動,…を発展させる,2,100,SA3,
1797,against,前,…に反対して,2,100,SA3,
1798,increase,名,増加,2,100,SA3,
1799,cause,動,…の原因となる、…をひき起こす,2,100,SA3,
1800,traffic jam,名,交通渋滞,2,100,SA3,
1801,pollute,動,（水・空気など）を汚す、汚染する,2,100,SA3,
1802,environment,名,環境,2,100,SA3,
1803,therefore,副,それゆえに、したがって、だから,2,100,SA3,
1804,review,動,…を見直す,2,101,SA3,
1805,value,名,価値,2,101,SA3,
1806,destroy,動,…を破壊する,2,101,SA3,
1807,attract,動,（人）をひきつける,2,101,SA3,
1808,possible,形,（物事が）可能な、できる,2,101,SA3,
1809,point,名,特徴、論点、ポイント,2,101,SA3,
1810,agree,動,賛成する、意見が一致する,2,101,SA3,
1811,concern,動,（人）を心配させる,2,101,SA3,
1812,crime,名,罪、犯罪,2,101,SA3,
1813,due,形,［due toで］ …のために、…が原因で,2,101,SA3,
1814,be afraid of,連,…をおそれる,2,100,SA3,
1815,due to,連,…のために、…が原因で,2,101,SA3,
1816,be [become] concerned about,連,…について心配する［心配になる］,2,101,SA3,
1817,for,前,【支持】…に賛成して,2,100,SA3,
1818,may,助,【推量】…かもしれない、（たぶん）…だろう,2,100,SA3,
1819,increase,動,…を増やす、増大させる,2,101,SA3,
1820,with,前,【賛成】…に賛成して、味方して,2,101,SA3,
1821,planet,名,惑星,2,104,LR3(p.104),
1822,photograph,名,写真,2,104,LR3(p.104),
1823,university,名,大学,2,104,LR3(p.104),
1824,attracted,形,ひきつけられる,2,104,LR3(p.104),
1825,middle,名,中央、真ん中,2,104,LR3(p.104),
1826,wilderness,名,荒野,2,104,LR3(p.104),
1827,mayor,名,市長、町長、村長,2,104,LR3(p.104),
1828,invite,動,…を招待する、招く,2,104,LR3(p.104),
1829,dream,名,夢,2,104,LR3(p.104),
1830,TRUE,形,本当の、真実の,2,104,LR3(p.104),
1831,in the middle of,連,…の真ん中に［の］,2,104,LR3(p.104),
1832,for himself ,連,自分で、独力で,2,104,LR3(p.104),
1833,come true,連,実現する、本当になる,2,104,LR3(p.104),
1834,change,動,…を変える,2,104,LR3(p.104),
1835,come,動,（ある状態）になる,2,104,LR3(p.104),
1836,life,名,一生、人生,2,104,LR3(p.104),
1837,write,動,（…に）手紙を書く,2,104,LR3(p.104),
1838,among,前,…の中で［に、を］、…の間で［に、を］,2,105,LR3(p.105),
1839,convenience,名,便利なこと［もの］,2,105,LR3(p.105),
1840,hunt,動,…を狩る、狩りをする,2,105,LR3(p.105),
1841,gather,動,…を集める、…をつむ,2,105,LR3(p.105),
1842,berry,名,ベリー,2,105,LR3(p.105),
1843,tradition,名,伝統,2,105,LR3(p.105),
1844,harmoniously,副,調和して,2,105,LR3(p.105),
1845,understood,動,understandの過去形,2,105,LR3(p.105),
1846,living,形,生きている,2,105,LR3(p.105),
1847,share,動,…を共有する,2,105,LR3(p.105),
1848,became,動,becomeの過去形,2,105,LR3(p.105),
1849,part,名,部分、［part of で］…の一部,2,105,LR3(p.105),
1850,of,前,【同格】…という、…の,2,105,LR3(p.105),
1851,return,動,帰る、戻る,2,106,LR3(p.106),
1852,photographer,名,写真家,2,106,LR3(p.106),
1853,camp,動,キャンプをする,2,106,LR3(p.106),
1854,severe,形,厳しい,2,106,LR3(p.106),
1855,wild,形,野生の,2,106,LR3(p.106),
1856,lonely,形,ひとりぼっちの、さびしい,2,106,LR3(p.106),
1857,freedom,名,自由,2,106,LR3(p.106),
1858,playful,形,楽しげな、陽気な,2,106,LR3(p.106),
1859,scene,名,景色、光景,2,106,LR3(p.106),
1860,suddenly,副,突然、急に,2,106,LR3(p.106),
1861,kill,動,…を殺す,2,106,LR3(p.106),
1862,alone,副,ひとりで、ただ…だけ,2,106,LR3(p.106),
1863,end,動,終わる,2,106,LR3(p.106),
1864,free,形,自由な、束縛されない,2,106,LR3(p.106),
1865,live,動,［lifeを目的語にして］…な人生［生活］を送る,2,106,LR3(p.106),
1866,wonder,名,驚き、不思議,2,106,LR3(p.106),
1867,glacier,名,氷河,2,107,LR3(p.107),
1868,disappear,動,姿を消す、消滅する,2,107,LR3(p.107),
1869,global warming,名,地球温暖化,2,107,LR3(p.107),
1870,enough,形,十分な、必要なだけの,2,107,LR3(p.107),
1871,habitat,名,生息地,2,107,LR3(p.107),
1872,grow,動,（しだいに）…になる,2,107,LR3(p.107),
1873,lose,動,…を失う,2,107,LR3(p.107),
1874,land,名,土地,2,107,LR3(p.107),
1875,island,名,島,2,107,LR3(p.107),
1876,slowly,副,ゆっくりと、遅く,2,107,LR3(p.107),
1877,twice,副,2倍、2度,2,107,LR3(p.107),
1878,rest,名,残り、その他,2,107,LR3(p.107),
1879,Earth,名,地球,2,107,LR3(p.107),
1880,remind,動,…に思い出させる、気づかせる,2,107,LR3(p.107),
1881,past,名,過去,2,107,LR3(p.107),
1882,pass,動,（…に）～を手渡す、…を伝える,2,107,LR3(p.107),
1883,beauty,名,美しさ、美,2,107,LR3(p.107),
1884,turn into,連,…になる、変わる,2,107,LR3(p.107),
1885,twice as ... as ～,連,～より2倍…,2,107,LR3(p.107),
1886,remind ... of ～,連,…に～を思い出させる,2,107,LR3(p.107),
1887,pass on ... to ～,連,…を～に伝える,2,107,LR3(p.107),
1888,as,接,【時】…のとき、…するにつれて,2,107,LR3(p.107),
1889,future,形,未来の、将来の,2,107,LR3(p.107),
1890,into,前,【質の変化】…に（なる）,2,107,LR3(p.107),
1891,way,名,方法、やり方,2,107,LR3(p.107),
1892,discover,動,…を発見する,3,6,U0,
1893,side,名,側、面,3,6,U0,
1894,finally,副,ついに、やっと,3,6,U0,
1895,musical,名,ミュージカル,3,6,U0,
1896,actor,名,俳優,3,6,U0,
1897,into,前,…に熱中して,3,6,U0,
1898,fashion,名,（服装・行動様式などの）人気のもの、ファッション,3,10,U1-1,
1899,regional,形,地方の、地域の、局地的な、地方特有の,3,10,U1-1,
1900,been,動/助,beの過去分詞,3,10,U1-1,
1901,have never [not] been to,連,…に行ったことがない,3,10,U1-1,
1902,have never [not] been to,連,…に行ったことがない,3,10,U1-1,
1903,pop,形,大衆的な,3,9,U1-1,
1904,have,助,［現在完了形を作る］,3,10,U1-1,
1905,never,副,今までに一度も…しない,3,10,U1-1,
1906,foreigner,名,外国人,3,11,U1-2,
1907,ever,副,［疑問文で］今まで、かつて,3,11,U1-2,
1908,have been to,連,…に行ったことがある,3,11,U1-2,
1909,have been to ,連,…に行ったことがある,3,11,U1-2,
1910,I’ve,短,I have,3,11,U1-2,
1911,haven’t,短,have not,3,11,U1-2,
1912,hear,動,…を耳にする、聞いて知る,3,11,U1-2,
1913,global,形,全世界の、世界的な、地球上の,3,12,U1-RT1,
1914,genre,名,（ 文学・芸術作品などの）ジャンル、部門、分野,3,12,U1-RT1,
1915,adventure,名,冒険、冒険心,3,12,U1-RT1,
1916,adult,名,おとな、（法律上の）成人、成長した動物,3,12,U1-RT1,
1917,quality,名,質、品質、良質,3,12,U1-RT1,
1918,animation,名,アニメーション、動画,3,12,U1-RT1,
1919,drawing,名,絵、図、スケッチ,3,12,U1-RT1,
1920,delicate,形,上品な、優美な、繊細な,3,12,U1-RT1,
1921,addition,名,足し算、加えること、加えられたもの［人］,3,12,U1-RT1,
1922,match,動,…と調和する、…に匹敵する,3,12,U1-RT1,
1923,positive,形,肯定の、前向きな,3,12,U1-RT1,
1924,in addition,連,そのうえ、さらに,3,12,U1-RT1,
1925,go,動,［go ＋ 形容詞で］（ある状態）になる,3,12,U1-RT1,
1926,make,動,（人・もの）を…の状態にする,3,12,U1-RT1,
1927,more,副,［動詞を修飾して］もっと,3,12,U1-RT1,
1928,you,代,人は（だれでも）［話し相手を含めた一般の人をさす。日本語に訳さない場合が多い］,3,12,U1-RT1,
1929,ignore,動,…を無視する、見て見ないふりをする,3,14,U1-RT2,
1930,existence,名,存在すること、生存,3,14,U1-RT2,
1931,root,名,［rootsで］起源,3,14,U1-RT2,
1932,drawn,動,drawの過去分詞,3,14,U1-RT2,
1933,express,動,…を表現する、言い表す,3,14,U1-RT2,
1934,movement,名,動き,3,14,U1-RT2,
1935,scroll,名,巻物、（日本・中国などの）掛け軸,3,14,U1-RT2,
1936,technique,名,（芸術の）手法、テクニック,3,14,U1-RT2,
1937,influence,動,…に影響を及ぼす,3,14,U1-RT2,
1938,advantage,名,有利（であること）、有利な点、強み,3,14,U1-RT2,
1939,taste,名,（飲食物の）味、味覚,3,14,U1-RT2,
1940,link,動,…を（～と）つなぐ、連結する,3,14,U1-RT2,
1941,entirely,副,全く、すっかり,3,14,U1-RT2,
1942,It is said that ....,連,…であると言われている。,3,14,U1-RT2,
1943,take advantage of,連,…を利用する,3,14,U1-RT2,
1944,around,副,あちこち、めぐって,3,14,U1-RT2,
1945,of,前,【行為の主体】…が、…の、…による,3,14,U1-RT2,
1946,said,動,sayの過去分詞,3,14,U1-RT2,
1947,to,前,【所属・付着】…に、…へ,3,14,U1-RT2,
1948,already,副,すでに、もう,3,20,U2-1,
1949,essay,名,随筆、評論、エッセー、（学校の）作文,3,20,U2-1,
1950,yet,副,［疑問文で］もう、すでに,3,20,U2-1,
1951,ethical,形,道義にかなった、道徳的な,3,20,U2-1,
1952,designer,名,デザイナー、設計者,3,20,U2-1,
1953,interview,動,…にインタビューする,3,20,U2-1,
1954,message,名,伝言、メッセージ,3,20,U2-1,
1955,sleep,動,眠る、寝ている,3,20,U2-1,
1956,interview,名,インタビュー、取材、（公式の）会見、面接（試験）、面談,3,20,U2-1,
1957,just,副,たった今,3,20,U2-1,
1958,read,動,readの過去分詞,3,20,U2-1,
1959,yet,副,［否定文で］まだ、今のところは,3,20,U2-1,
1960,accessory,名,（車・カメラ・機械類の）付属品、（身につける）アクセサリー,3,21,U2-2,
1961,recycle,動,（廃品）を再生利用する、リサイクルする,3,21,U2-2,
1962,eco-friendly,形,環境にやさしい,3,21,U2-2,
1963,become,動,becomeの過去分詞,3,21,U2-2,
1964,impact,名,（強い）影響、衝撃、衝突,3,21,U2-2,
1965,since,前/接,…（して）以来,3,21,U2-2,
1966,introduce,動,…を導入する,3,21,U2-2,
1967,How long ...?,連,どれくらい長く［長い］,3,21,U2-2,
1968,design,動,…を設計する,3,21,U2-2,
1969,made,動,makeの過去分詞,3,21,U2-2,
1970,on,前,【対象】…に対して、…に,3,21,U2-2,
1971,morally,副,道徳上、道徳的に見て、倫理的に、品行方正に,3,22,U2-RT1,
1972,clothing,名,［単数あつかいで］衣類、衣料品,3,22,U2-RT1,
1973,company,名,会社,3,22,U2-RT1,
1974,chemical,名,化学物質,3,22,U2-RT1,
1975,lead,動,（…に）通じる,3,22,U2-RT1,
1976,less,形,もっと少ない,3,22,U2-RT1,
1977,negative,形,否定的な、よくない,3,22,U2-RT1,
1978,animal-free,形,（食品が）動物性原料を含んでいない,3,22,U2-RT1,
1979,include,動,…を含む、含める,3,22,U2-RT1,
1980,vegan,名,絶対菜食主義者（卵・チーズ・牛乳などをとらないベジタリアン）,3,22,U2-RT1,
1981,leather,名,革、なめし革、革製品,3,22,U2-RT1,
1982,avoid,動,…を避ける、よける,3,22,U2-RT1,
1983,wool,名,羊毛、毛糸、毛織物、ウール,3,22,U2-RT1,
1984,fur,名,毛皮、毛皮製品、毛皮の衣服、（ほ乳動物の）柔らかい毛,3,22,U2-RT1,
1985,you’ve,短,you have,3,22,U2-RT1,
1986,avoid ...ing,連,…することを避ける,3,22,U2-RT1,
1987,vegan leather,連,ヴィーガンレザー（非動物性の材料で作られた素材）,3,22,U2-RT1,
1988,have,助,［現在完了進行形を作る］,3,22,U2-RT1,
1989,many,代,多数（の人［もの］）,3,22,U2-RT1,
1990,small,形,少ない、わずかな,3,22,U2-RT1,
1991,use,名,使うこと、使用,3,22,U2-RT1,
1992,moreover,副,なおそのうえに、さらに,3,24,U2-RT2,
1993,worker,名,働く人、労働者,3,24,U2-RT2,
1994,developing,形,発展途上の,3,24,U2-RT2,
1995,condition,名,状況,3,24,U2-RT2,
1996,wage,名,賃金、給料,3,24,U2-RT2,
1997,working,形,［名詞の前に用いて］働く,3,24,U2-RT2,
1998,fair,形,公平な、相当の,3,24,U2-RT2,
1999,prohibit,動,（法律・規則などが）…を禁止する,3,24,U2-RT2,
2000,labor,名,労働,3,24,U2-RT2,
2001,responsible,形,（人が）（物事に対して）責任がある,3,24,U2-RT2,
2002,what to,連,何を…すべきか,3,24,U2-RT2,
2003,hour,名,（決まった）時間、勤務［営業］時間、授業時間,3,24,U2-RT2,
2004,low,形,（値段・程度などが）低い、小さい、（地位・身分が）低い,3,24,U2-RT2,
2005,planet,名,［the planetで］地球,3,24,U2-RT2,
2006,danger,名,危険（性）,3,32,U3-1,
2007,extinction,名,絶滅,3,32,U3-1,
2008,challenge,名,難問,3,32,U3-1,
2009,human,形,人間の、人間的な,3,32,U3-1,
2010,endangered,形,絶滅の危機にさらされている,3,32,U3-1,
2011,survive,動,生き残る,3,32,U3-1,
2012,trouble,名,困難、面倒、迷惑,3,32,U3-1,
2013,be in danger of,連,…の危険がある、危険にさらされている,3,32,U3-1,
2014,be,動,（…に）いる、ある,3,32,U3-1,
2015,change,名,変化,3,32,U3-1,
2016,for,前,［「It is ... （for ＋（人））＋ to ＋ 動詞の原形」の意味上の主語として］（人）が（～することは）,3,32,U3-1,
2017,or,接,［主に命令文のあとで］そうしなければ,3,32,U3-1,
2018,cheetah,名,チーター,3,33,U3-2,
2019,sea otter,名,ラッコ,3,33,U3-2,
2020,article,名,記事,3,33,U3-2,
2021,hear of ,連,…について聞く,3,33,U3-2,
2022,want ... to ～,連,…が～することを望む、…に～してほしい,3,33,U3-2,
2023,heard,動,hearの過去分詞,3,33,U3-2,
2024,list,名,表、リスト,3,33,U3-2,
2025,population,名,人口、（動物の）個体数,3,34,U3-RT1,
2026,rapidly,副,速く、急速に,3,34,U3-RT1,
2027,beginning,名,最初の部分,3,34,U3-RT1,
2028,century,名,世紀、100年,3,34,U3-RT1,
2029,shock,動,…に衝撃［ショック］をあたえる,3,34,U3-RT1,
2030,safely,副,安全に,3,34,U3-RT1,
2031,overhunting,名,乱獲,3,34,U3-RT1,
2032,oil,名,油、石油,3,34,U3-RT1,
2033,spill,名,（液体・粉などの）こぼれ、流出,3,34,U3-RT1,
2034,hunting,名,狩り、さがし求めること,3,34,U3-RT1,
2035,killer whale,名,シャチ,3,34,U3-RT1,
2036,as a result (of),連,（…の）結果として,3,34,U3-RT1,
2037,decide to,連,…しようと決心する,3,34,U3-RT1,
2038,end,動,…を終える,3,34,U3-RT1,
2039,from,前,【数量・順序】…から,3,34,U3-RT1,
2040,help,動,（人）が…するのを手伝う,3,34,U3-RT1,
2041,increase,動,増える、増加する、増大する,3,34,U3-RT1,
2042,let,動,（人）に…させる,3,34,U3-RT1,
2043,the,冠,［単数名詞につけて種類全体を表す］…というもの the sea otter ラッコ,3,34,U3-RT1,
2044,to,前,【範囲・限界】…まで,3,34,U3-RT1,
2045,native,形,（その土地に）固有の、原産の、生粋の,3,36,U3-RT2,
2046,logging,名,伐採,3,36,U3-RT2,
2047,traffic accident,名,交通事故,3,36,U3-RT2,
2048,research,名,研究、調査,3,36,U3-RT2,
2049,categorize,動,…を分類する、（…として）類別する,3,36,U3-RT2,
2050,critically,副,危機的な、危険な状態で、危うく,3,36,U3-RT2,
2051,citizen,名,市民,3,36,U3-RT2,
2052,ecosystem,名,生態系,3,36,U3-RT2,
2053,human being,名,人間（全体）,3,36,U3-RT2,
2054,relate,動,…を（～に）関係させる,3,36,U3-RT2,
2055,action,名,アクション、行動,3,36,U3-RT2,
2056,decrease,名,（…の）減少,3,36,U3-RT2,
2057,breed,動,…を飼育する、繁殖する,3,39,RLE3,
2058,release,動,…を放す,3,39,RLE3,
2059,reach,動,…に達する、到着する,3,39,RLE3,
2060,nowadays,副,このごろは、今日では,3,39,RLE3,
2061,continue,動,…を続ける,3,39,RLE3,
2062,wild,名,［the wildで］野生,3,39,RLE3,
2063,item,名,品目,3,43,SA1,
2064,piece,名,部分、断片,3,43,SA1,
2065,cloth,名,布、服地,3,43,SA1,
2066,wrap,動,…を包む,3,43,SA1,
2067,fold,動,…を折る、折りたたむ,3,43,SA1,
2068,convenient,形,便利な,3,43,SA1,
2069,instead,副,そのかわりに,3,43,SA1,
2070,resource,名,資源,3,43,SA1,
2071,a piece of,連,1つ［1個、1本、1枚］の…,3,43,SA1,
2072,fold ... up ,連,…を折りたたむ,3,43,SA1,
2073,instead of,連,…のかわりに,3,43,SA1,
2074,won’t,短,will not,3,43,SA1,
2075,square,形,正方形の,3,42,SA1,
2076,keep,動,（ずっと）…を持っている、預かる,3,43,SA1,
2077,plastic bag,連,ビニール袋,3,43,SA1,
2078,up,副,しっかりと、きちんと,3,43,SA1,
2079,waste,動,…をむだに使う,3,43,SA1,
2080,lullaby,名,子守歌,3,46,LR1(p.46),
2081,road,名,道路、道,3,46,LR1(p.46),
2082,bomb,名,爆弾,3,47,LR1(p.47),
2083,lost,動,loseの過去形,3,47,LR1(p.47),
2084,injure,動,…を傷つける,3,47,LR1(p.47),
2085,shade,名,陰、日陰,3,47,LR1(p.47),
2086,dead,形,死んだ,3,47,LR1(p.47),
2087,weak,形,弱い、かすかな,3,47,LR1(p.47),
2088,mommy,名,お母さん、ママ［momよりは幼い言い方］,3,47,LR1(p.47),
2089,cry,動,泣く,3,47,LR1(p.47),
2090,held,動,holdの過去形,3,47,LR1(p.47),
2091,hold,動,…を持つ、つかむ、抱く,3,47,LR1(p.47),
2092,real,形,本当の、本物の,3,47,LR1(p.47),
2093,all right,連,だいじょうぶな,3,47,LR1(p.47),
2094,some,副,［ 数を表す語とともに用いて］約、およそ,3,46,LR1(p.47),
2095,sweet,形,心地よい、やさしい,3,46,LR1(p.47),
2096,through,前,【時間】…の間中,3,46,LR1(p.47),
2097,burn,名,やけど,3,47,LR1(p.47),
2098,fall,動,落ちる、降る,3,47,LR1(p.47),
2099,life,名,生命、命、生き物,3,47,LR1(p.47),
2100,rest,動,休む、眠る,3,47,LR1(p.47),
2101,right,形,健康な、調子がいい,3,47,LR1(p.47),
2102,tightly,副,しっかりと,3,48,LR1(p.48),
2103,while,名,（少しの）時間、（しばらくの）間,3,48,LR1(p.48),
2104,quietly,副,静かに、落ち着いて,3,48,LR1(p.48),
2105,after a while,連,しばらくして,3,48,LR1(p.48),
2106,move,動,動く、引っこす,3,48,LR1(p.48),
2107,stop,動,…をとめる、…（するの）をやめる,3,48,LR1(p.48),
2108,nuclear,形,核の、原子力の,3,49,LR1(p.49),
2109,peace,名,平和,3,49,LR1(p.49),
2110,bright,形,明るい,3,49,LR1(p.49),
2111,cloudless,形,雲のない,3,49,LR1(p.49),
2112,death,名,死,3,49,LR1(p.49),
2113,sky,名,空、大空,3,49,LR1(p.49),
2114,U.S.,名,the U.S. アメリカ合衆国、米国,3,49,LR1(p.49),
2115,president,名,大統領,3,49,LR1(p.49),
2116,meant,動,meanの過去形,3,49,LR1(p.49),
